year,event_date_start,event_date_end,province,municipality,psgc_code,commodity,disaster_type_raw,disaster_category,disaster_name,area_partially_damaged_ha,area_totally_damaged_ha,area_total_affected_ha,farmers_affected,losses_php_production_cost,losses_php_farm_gate,losses_php_grand_total,sanitation_remarks,source_row_number,error_reason
2010,2010-12-09,2010-12-10,CAPIZ,PANITAN,601910000,RICE,FLOODING / TYPHOON / DRY SPELL,ITCZ,COLD FRONT (TAIL-END) INDUCED FLASH FLOODING,568.0,922.0,1472.0,1510.0,6946693.46,4624630.0,11571323.46,"Parsed from 'Month Day-Day, Year' format.",30,Area inconsistency: Partial(568.0) + Totally(922.0) != Total(1472.0).
2010,2010-12-09,2010-12-10,CAPIZ,CITY OF ROXAS,601914000,RICE,FLOODING / TYPHOON / DRY SPELL,ITCZ,COLD FRONT (TAIL-END) INDUCED FLASH FLOODING,75.0,30.0,95.0,90.0,180170.32,0.0,180170.32,"Parsed from 'Month Day-Day, Year' format.",32,Area inconsistency: Partial(75.0) + Totally(30.0) != Total(95.0).
2009,2009-12-01,2010-03-15,AKLAN,IBAJAY,600406000,RICE,FLOODING / TYPHOON / DRY SPELL,DRY SPELL,EL NIÑO,211.0,0.0,124.0,292.0,0.0,1170765.4,1170765.4,Start date assumed as 1st of month.,41,Area inconsistency: Partial(211.0) + Totally(0.0) != Total(124.0).
2009,2009-12-01,2010-03-15,CAPIZ,DAO,601902000,RICE,FLOODING / TYPHOON / DRY SPELL,DRY SPELL,EL NIÑO,70.0,178.0,108.0,190.0,643490.56,0.0,643490.56,Start date assumed as 1st of month.,64,Area inconsistency: Partial(70.0) + Totally(178.0) != Total(108.0).
2009,2009-12-01,2010-03-15,CAPIZ,-,,HVC,FLOODING / TYPHOON / DRY SPELL,DRY SPELL,EL NIÑO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Start date assumed as 1st of month.,88,Missing or zero Grand Total for PHP loss.; PSGC code not found for province/municipality: 'CAPIZ' / '-'.
2009,2009-12-01,2010-03-15,NEGROS OCCIDENTAL,CITY OF KABANKALAN,604515000,HVC,FLOODING / TYPHOON / DRY SPELL,DRY SPELL,EL NIÑO,172.5,21.0,0.0,0.0,0.0,0.0,0.0,Start date assumed as 1st of month.,153,Missing or zero Grand Total for PHP loss.
2009,2009-12-01,2010-03-15,NEGROS OCCIDENTAL,MURCIA,604520000,HVC,FLOODING / TYPHOON / DRY SPELL,DRY SPELL,EL NIÑO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Start date assumed as 1st of month.,154,Missing or zero Grand Total for PHP loss.
2009,2009-12-01,2010-03-15,NEGROS OCCIDENTAL,CITY OF SIPALAY,604527000,HVC,FLOODING / TYPHOON / DRY SPELL,DRY SPELL,EL NIÑO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Start date assumed as 1st of month.,155,Missing or zero Grand Total for PHP loss.
2009,2009-12-01,2010-03-15,NEGROS OCCIDENTAL,,,LIVESTOCK AND POULTRY,FLOODING / TYPHOON / DRY SPELL,DRY SPELL,EL NIÑO,0.0,0.0,4219.0,161.0,226440.0,1850420.0,2076860.0,Start date assumed as 1st of month.,156,Missing essential field (municipality).
2011,2011-10-12,2011-10-12,CAPIZ,PONTEVEDRA,601912000,CORN,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY RAMON 2011 INDUCED FLASH FLOODING,159.5,0.0,159.5,122.0,0.0,0.0,0.0,Parsed as a single day event.,191,Missing or zero Grand Total for PHP loss.
2011,2011-02-05,2011-02-06,CAPIZ,PANAY,601909000,RICE,FLOODING / TYPHOON / DRY SPELL,NORTHEAST MONSOON,ENHANCED NORTHEAST MONSOON,107.0,39.0,150.0,150.0,7132.19,1748790.0,1755922.19,"Parsed from 'Month Day-Day, Year' format.",243,Area inconsistency: Partial(107.0) + Totally(39.0) != Total(150.0).
2011,2011-02-05,2011-02-06,CAPIZ,JAMINDAN,601906000,RICE,FLOODING / TYPHOON / DRY SPELL,NORTHEAST MONSOON,ENHANCED NORTHEAST MONSOON,14.0,105.0,91.0,113.0,4919.58,625050.0,629969.58,"Parsed from 'Month Day-Day, Year' format.",251,Area inconsistency: Partial(14.0) + Totally(105.0) != Total(91.0).
2012,2012-12-26,2012-12-27,ILOILO,ALIMODIAN,603002000,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY QUINTA 2012 INDUCED FLASH FLOODING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Parsed from 'Month Day-Day, Year' format.",310,Missing or zero Grand Total for PHP loss.
2012,2012-10-24,2012-10-25,CAPIZ,,,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,TY OFEL 2012 INDUCED FLOODING,0.0,0.0,0.0,5450.0,490.0,0.0,490.0,"Parsed from 'Month Day-Day, Year' format.",350,Missing essential field (municipality).
,,,ILOILO,ALIMODIAN,603002000,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,RAIN INDUCED LANDSLIDE,0.0,2.0,2.0,3.0,19630.0,0.0,19630.0,Invalid start month name,351,"Unparseable date: 'July 25 and 28, 2012' (Invalid start month name)"
,,,ILOILO,SAN JOAQUIN,603040000,RICE,FLOODING / TYPHOON / DRY SPELL,TROPICAL CYCLONE,RAIN INDUCED LANDSLIDE,0.0,2.0,2.0,4.0,0.0,44800.0,0.0,Invalid start month name,352,"Unparseable date: 'July 25 and 28, 2012' (Invalid start month name); Missing or zero Grand Total for PHP loss."
