province_name,municipality_name,psgc_code
AKLAN,ALTAVAS,600401000
AKLAN,BALETE,600402000
AKLAN,BANGA,600403000
AKLAN,BATAN,600404000
AKLAN,BURUANGA,600405000
AKLAN,IBAJAY,600406000
AKLAN,KALIBO,600407000
AKLAN,LEZO,600408000
AKLAN,LIBACAO,600409000
AKLAN,MADALAG,600410000
AKLAN,MAKATO,600411000
AKLAN,MALAY,600412000
AKLAN,MALINAO,600413000
AKLAN,NABAS,600414000
AKLAN,NEW WASHINGTON,600415000
AKLAN,NUMANCIA,600416000
AKLAN,TANGALAN,600417000
ANTIQUE,ANINI-Y,600601000
ANTIQUE,BARBAZA,600602000
ANTIQUE,BELISON,600603000
ANTIQUE,BUGASONG,600604000
ANTIQUE,CALUYA,600605000
ANTIQUE,CULASI,600606000
ANTIQUE,HAMTIC,600608000
ANTIQUE,LAUA-AN,600609000
ANTIQUE,LIBERTAD,600610000
ANTIQUE,PANDAN,600611000
ANTIQUE,PATNONGON,600612000
ANTIQUE,SAN JOSE,600613000
ANTIQUE,SAN REMIGIO,600614000
ANTIQUE,SEBASTE,600615000
ANTIQUE,SIBALOM,600616000
ANTIQUE,TIBIAO,600617000
ANTIQUE,TOBIAS FORNIER,600607000
ANTIQUE,VALDERRAMA,600618000
CAPIZ,CITY OF ROXAS,601914000
CAPIZ,CUARTERO,601901000
CAPIZ,DAO,601902000
CAPIZ,DUMALAG,601903000
CAPIZ,DUMARAO,601904000
CAPIZ,IVISAN,601905000
CAPIZ,JAMINDAN,601906000
CAPIZ,MA-AYON,601907000
CAPIZ,MAMBUSAO,601908000
CAPIZ,PANAY,601909000
CAPIZ,PANITAN,601910000
CAPIZ,PILAR,601911000
CAPIZ,PONTEVEDRA,601912000
CAPIZ,PRESIDENT ROXAS,601913000
CAPIZ,SAPI-AN,601915000
CAPIZ,SIGMA,601916000
CAPIZ,TAPAZ,601917000
GUIMARAS,BUENAVISTA,607901000
GUIMARAS,JORDAN,607902000
GUIMARAS,NUEVA VALENCIA,607903000
GUIMARAS,SAN LORENZO,607904000
GUIMARAS,SIBUNAG,607905000
ILOILO,AJUY,603001000
ILOILO,ALIMODIAN,603002000
ILOILO,ANILAO,603003000
ILOILO,BADIANGAN,603004000
ILOILO,BALASAN,603005000
ILOILO,BANATE,603006000
ILOILO,BAROTAC NUEVO,603007000
ILOILO,BAROTAC VIEJO,603008000
ILOILO,BATAD,603009000
ILOILO,BINGAWAN,603010000
ILOILO,CABATUAN,603012000
ILOILO,CALINOG,603013000
ILOILO,CARLES,603014000
ILOILO,CITY OF ILOILO,631000000
ILOILO,CITY OF PASSI,603035000
ILOILO,CONCEPCION,603015000
ILOILO,DINGLE,603016000
ILOILO,DUEÑAS,603017000
ILOILO,DUMANGAS,603018000
ILOILO,ESTANCIA,603019000
ILOILO,GUIMBAL,603020000
ILOILO,IGBARAS,603021000
ILOILO,JANIUAY,603023000
ILOILO,LAMBUNAO,603025000
ILOILO,LEGANES,603026000
ILOILO,LEMERY,603027000
ILOILO,LEON,603028000
ILOILO,MAASIN,603029000
ILOILO,MIAGAO,603030000
ILOILO,MINA,603031000
ILOILO,NEW LUCENA,603032000
ILOILO,OTON,603034000
ILOILO,PAVIA,603036000
ILOILO,POTOTAN,603037000
ILOILO,SAN DIONISIO,603038000
ILOILO,SAN ENRIQUE,603039000
ILOILO,SAN JOAQUIN,603040000
ILOILO,SAN MIGUEL,603041000
ILOILO,SAN RAFAEL,603042000
ILOILO,SANTA BARBARA,603043000
ILOILO,SARA,603044000
ILOILO,TIGBAUAN,603045000
ILOILO,TUBUNGAN,603046000
ILOILO,ZARRAGA,603047000
NEGROS OCCIDENTAL,BINALBAGAN,604503000
NEGROS OCCIDENTAL,CALATRAVA,604505000
NEGROS OCCIDENTAL,CANDONI,604506000
NEGROS OCCIDENTAL,CAUAYAN,604507000
NEGROS OCCIDENTAL,CITY OF BACOLOD,630200000
NEGROS OCCIDENTAL,CITY OF BAGO,604502000
NEGROS OCCIDENTAL,CITY OF CADIZ,604504000
NEGROS OCCIDENTAL,CITY OF ESCALANTE,604509000
NEGROS OCCIDENTAL,CITY OF HIMAMAYLAN,604510000
NEGROS OCCIDENTAL,CITY OF KABANKALAN,604515000
NEGROS OCCIDENTAL,CITY OF LA CARLOTA,604516000
NEGROS OCCIDENTAL,CITY OF SAGAY,604523000
NEGROS OCCIDENTAL,CITY OF SAN CARLOS,604524000
NEGROS OCCIDENTAL,CITY OF SILAY,604526000
NEGROS OCCIDENTAL,CITY OF SIPALAY,604527000
NEGROS OCCIDENTAL,CITY OF TALISAY,604528000
NEGROS OCCIDENTAL,CITY OF VICTORIAS,604531000
NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA,604508000
NEGROS OCCIDENTAL,HINIGARAN,604511000
NEGROS OCCIDENTAL,HINOBA-AN,604512000
NEGROS OCCIDENTAL,ILOG,604513000
NEGROS OCCIDENTAL,ISABELA,604514000
NEGROS OCCIDENTAL,LA CASTELLANA,604517000
NEGROS OCCIDENTAL,MANAPLA,604518000
NEGROS OCCIDENTAL,MOISES PADILLA,604519000
NEGROS OCCIDENTAL,MURCIA,604520000
NEGROS OCCIDENTAL,PONTEVEDRA,604521000
NEGROS OCCIDENTAL,PULUPANDAN,604522000
NEGROS OCCIDENTAL,SALVADOR BENEDICTO,604532000
NEGROS OCCIDENTAL,SAN ENRIQUE,604525000
NEGROS OCCIDENTAL,TOBOSO,604529000
NEGROS OCCIDENTAL,VALLADOLID,604530000
