DISASTER EVENT NO.,DISASTER TYPE,YEAR (DATE OF OCCURENCE),ACTUAL DATE OF OCCURENCE,MONTH (DATE OF OCCURENCE),QUARTER (DATE OF OCCURENCE),HYDROMETEOROLOGICAL EVENTS / GENERAL DISASTER EVENTS,NAME OF DISASTER,PROVINCE AFFECTED,MUNICIPALITY AFFECTED,COMMODITY,NUMBER OF FARMERS AFFECTED,Totally Damaged (AREA AFFECTED (HA.) / MORTALITY HEADS / NO. OF UNITS AFFECTED),Partially Damaged (AREA AFFECTED (HA.) / MORTALITY HEADS / NO. OF UNITS AFFECTED),TOTAL (AREA AFFECTED (HA.) / MORTALITY HEADS / NO. OF UNITS AFFECTED),Total Value (Based on Cost of Production / Inputs),Volume (MT) - Based on Farm Gate Price ,Total Value - Based on Farm Gate Price ,GRAND TOTAL,source_row_number,error_reason
2,FLOODING / TYPHOON / DRY SPELL,2010,"December 9-10, 2010",(12) DECEMBER,4TH QUARTER,ITCZ,Cold Front (Tail-End) induced Flash Flooding,CAPIZ,Panitan,01 - Rice,1510,922,568,1472,6946693.46,318.94,4624630,11571323.46,30,Area inconsistency: Partial(568.0) + Totally(922.0) != Total(1472.0).
2,FLOODING / TYPHOON / DRY SPELL,2010,"December 9-10, 2010",(12) DECEMBER,4TH QUARTER,ITCZ,Cold Front (Tail-End) induced Flash Flooding,CAPIZ,City of Roxas,01 - Rice,90,30,75,95,180170.32,0,0,180170.32,32,Area inconsistency: Partial(75.0) + Totally(30.0) != Total(95.0).
3,FLOODING / TYPHOON / DRY SPELL,2010,"December 2009 to March 15, 2010",(12) DECEMBER,1ST QUARTER,DRY SPELL,El Niño,AKLAN,Ibajay,01 - Rice,292,,211,124,,69.98,1170765.4,1170765.4,41,Area inconsistency: Partial(211.0) + Totally(0.0) != Total(124.0).
3,FLOODING / TYPHOON / DRY SPELL,2010,"December 2009 to March 15, 2010",(12) DECEMBER,1ST QUARTER,DRY SPELL,El Niño,CAPIZ,Dao,01 - Rice,190,178,70,108,643490.56,239.72,0,643490.56,64,Area inconsistency: Partial(70.0) + Totally(178.0) != Total(108.0).
3,FLOODING / TYPHOON / DRY SPELL,2010,"December 2009 to March 15, 2010",(12) DECEMBER,1ST QUARTER,DRY SPELL,El Niño,CAPIZ,-,03 - HVC,NO DATA,,,,,,,,88,Missing or zero Grand Total for PHP loss.
3,FLOODING / TYPHOON / DRY SPELL,2010,"December 2009 to March 15, 2010",(12) DECEMBER,1ST QUARTER,DRY SPELL,El Niño,NEGROS OCCIDENTAL,City of Kabankalan,03 - HVC,-,21,172.5,0,0,0,0,0,153,Missing or zero Grand Total for PHP loss.
3,FLOODING / TYPHOON / DRY SPELL,2010,"December 2009 to March 15, 2010",(12) DECEMBER,1ST QUARTER,DRY SPELL,El Niño,NEGROS OCCIDENTAL,Murcia,03 - HVC,,,,,,,,0,154,Missing or zero Grand Total for PHP loss.
3,FLOODING / TYPHOON / DRY SPELL,2010,"December 2009 to March 15, 2010",(12) DECEMBER,1ST QUARTER,DRY SPELL,El Niño,NEGROS OCCIDENTAL,City of Sipalay,03 - HVC,,,,,,,,0,155,Missing or zero Grand Total for PHP loss.
5,FLOODING / TYPHOON / DRY SPELL,2011,"October 12, 2011",(10) OCTOBER,4TH QUARTER,TROPICAL CYCLONE,TY Ramon 2011 induced Flash Flooding,CAPIZ,Pontevedra,02 - Corn,122,0,159.5,159.5,0,0,0,0,191,Missing or zero Grand Total for PHP loss.
8,FLOODING / TYPHOON / DRY SPELL,2011,"February 5-6, 2011",(02) FEBRUARY,1ST QUARTER,NORTHEAST MONSOON,Enhanced Northeast Monsoon,CAPIZ,Panay,01 - Rice,150,39,107,150,7132.19,129.54,1748790,1755922.19,243,Area inconsistency: Partial(107.0) + Totally(39.0) != Total(150.0).
8,FLOODING / TYPHOON / DRY SPELL,2011,"February 5-6, 2011",(02) FEBRUARY,1ST QUARTER,NORTHEAST MONSOON,Enhanced Northeast Monsoon,CAPIZ,Jamindan,01 - Rice,113,105,14,91,4919.58,46.3,625050,629969.58,251,Area inconsistency: Partial(14.0) + Totally(105.0) != Total(91.0).
11,FLOODING / TYPHOON / DRY SPELL,2012,"December 26-27, 2012",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Quinta 2012 induced Flash Flooding,ILOILO,Alimodian,01 - Rice,INITIALLY REPORTED BUT VERIFIED TO HAVE NO NOTABLE OCCURRENCE WITH NO NEGATIVE EFFECT ON PALAY YIELD,,,,,,,0,310,Missing or zero Grand Total for PHP loss.
